,Dataset,RotF,DTW-1NN,ST,LS,FS,COTE,BSPCOVER,ResNet,ROCKET,baseline1,DDPS1,DDPSm1,baseline2,DDPS2,DDPSm2,baseline3,DDPS3,DDPSm3,baseline3_k,DDPS3_k,DDPSm3_k
48,ProximalPhalanxOutlineAgeGroup,0.8537,0.7854,0.8439,0.8341,0.7805,0.8537,0.8195,0.8244,0.8524,0.8488,0.8488,0.8585,0.839,0.8293,0.8098,0.8537,0.8634,0.8244,5,3,1
49,ProximalPhalanxTW,0.8244,0.761,0.8049,0.7756,0.7024,0.7805,0.7975,0.7805,0.8036,0.7707,0.7659,0.7659,0.7561,0.7756,0.7463,0.7756,0.761,0.7902,8,2,2
50,RefrigerationDevices,0.5653,0.44,0.5813,0.5147,0.3333,0.5467,0.5467,0.5173,0.73,0.5413,0.5307,0.5307,0.496,0.4933,0.496,0.5413,0.5333,0.552,3,9,4
51,ScreenType,0.44,0.4107,0.52,0.4293,0.4133,0.5467,0.5173,0.592,0.609,0.536,0.504,0.5253,0.4693,0.4453,0.4693,0.4693,0.4587,0.552,8,11,10
52,ShapeletSim,0.4111,0.6944,0.9556,0.95,1,0.9611,0.8444,0.7611,0.9981,1,1,1,1,1,1,1,1,1,1,1,3
53,SmallKitchenAppliances,0.728,0.672,0.792,0.664,0.3333,0.776,0.7333,0.76,0.8183,0.704,0.6907,0.744,0.6827,0.64,0.664,0.6827,0.68,0.752,4,6,16
54,SonyAIBORobotSurface1,0.8087,0.6955,0.8436,0.8103,0.6855,0.8453,0.8835,0.9601,0.9581,0.9118,0.8669,0.8719,0.8769,0.822,0.7138,0.7704,0.8037,0.9101,1,2,5
55,SonyAIBORobotSurface2,0.808,0.8594,0.9339,0.8751,0.7901,0.9517,0.9349,0.979,0.935,0.8951,0.9224,0.9433,0.8856,0.8804,0.9328,0.8919,0.9108,0.9234,7,2,3
56,Strawberry,0.973,0.9459,0.9622,0.9108,0.9027,0.9514,0.9429,0.9838,0.9787,0.927,0.9351,0.9432,0.927,0.9243,0.9297,0.9243,0.9351,0.9351,3,11,7
57,SwedishLeaf,0.8816,0.8464,0.928,0.9072,0.768,0.9552,0.9184,0.9648,0.9632,0.9056,0.92,0.9216,0.9104,0.8816,0.9184,0.896,0.9232,0.9232,18,20,12
