,dataset,HC1,HC2,ROCKET,miniROCKET,ResNet,InceptionTime,FS,ST,LS,BSPCOVER,IPS,prototypeMP,DDPS-SScv,DDPS-SSpi
22,PowerCons,0.9915,0.9689,0.9548,0.9837,0.8833,0.9444,,0.9406,,,,0.8213,0.8546,0.8287
23,DistalPhalanxOutlineCorrect,0.825,0.8284,0.8213,0.8214,0.7717,0.7826,,0.8293,0.7754,0.8317,0.8367,0.8207,0.7754,0.7566
24,ProximalPhalanxOutlineCorrect,0.886,0.8963,0.8938,0.8942,0.9244,0.9313,,0.8916,0.8729,0.8454,,0.8497,0.868,0.8608
25,MiddlePhalanxOutlineCorrect,0.8166,0.8363,0.833,0.8427,0.8351,0.8179,,0.8324,0.8316,0.6467,,0.7746,0.7915,0.7732
26,Herring,0.6203,0.626,0.626,0.6094,0.6406,0.6719,,0.6443,0.7188,0.7031,,0.6185,0.6536,0.6159
27,FreezerRegularTrain,0.9993,0.9999,0.9923,0.9991,0.9989,0.9965,,0.9993,,,,0.9052,0.9985,0.9973
28,Lightning2,0.7738,0.7836,0.7749,0.7519,0.7213,0.7705,0.7049,0.6525,0.8689,0.9016,,0.6995,0.765,0.6831
29,Ham,0.8397,0.8587,0.8575,0.8448,0.7524,0.7143,,0.8114,0.819,0.7619,0.7238,0.7254,0.8206,0.7786
30,HouseTwenty,0.9796,0.9863,0.9622,0.9658,0.9832,0.9748,,0.9759,,,,0.901,0.958,0.9258
31,Yoga,0.9122,0.93,0.9132,0.9187,0.8643,0.9017,0.7507,0.8799,0.856,0.882,0.8573,0.776,0.8014,0.7912
32,WormsTwoClass,0.7944,0.8052,0.7675,0.7926,0.7273,0.7922,,0.7835,0.8052,0.7459,0.7348,0.7231,0.7922,0.7186
33,Strawberry,0.9747,0.9789,0.9788,0.9798,0.9757,0.9838,,0.973,0.9595,0.9429,0.9672,0.8845,0.9581,0.9511
34,Earthquakes,0.7475,0.7482,0.7487,0.7487,0.6906,0.741,,0.7434,0.7626,0.8168,0.8199,0.8296,0.7914,0.7596
35,Computers,0.8127,0.8585,0.8424,0.7939,0.792,0.796,,0.8049,0.74,0.672,0.74,0.7322,0.7671,0.7525
36,Wafer,0.9999,1,0.9986,0.999,0.9985,0.9985,0.9964,0.9996,0.9958,0.9981,0.9951,0.919,1,0.9998
37,PhalangesOutlinesCorrect,0.8271,0.8454,0.8453,0.8422,0.845,0.8497,,0.8334,0.7681,0.7844,,0.8292,0.789,0.7881
38,SmoothSubspace,0.9876,0.9827,0.9727,0.958,0.98,0.9933,,0.9336,,,,0.9228,0.9256,0.9044
39,BME,0.9829,0.9996,0.9973,0.9922,1,0.9933,,0.9289,,,,0.9483,0.9706,0.955
40,CBF,0.9981,0.9979,0.996,0.9962,0.9922,0.9989,0.9471,0.9854,0.9944,0.9967,0.9978,0.985,0.9812,0.942
41,UMD,0.9667,0.9859,0.9819,0.9903,0.9931,0.9861,,0.9354,,,,0.9433,0.9497,0.9149
42,ArrowHead,0.8762,0.8863,0.8539,0.881,0.8629,0.8457,,0.7933,0.84,0.8057,0.8514,0.7895,0.8614,0.8333
43,InsectEPGSmallTrain,0.9997,0.9985,0.9349,0.9934,0.4699,0.9438,,0.9456,,,,0.8722,0.8842,0.8457
44,ProximalPhalanxOutlineAgeGroup,0.8556,0.854,0.8524,0.8566,0.8488,0.8488,,0.8467,0.8634,0.8195,,0.8805,0.8683,0.8451
45,MiddlePhalanxOutlineAgeGroup,0.6948,0.7175,0.7113,0.708,0.5649,0.5519,,0.6714,0.6364,0.805,,0.7527,0.7733,0.7489
46,DistalPhalanxOutlineAgeGroup,0.8228,0.8209,0.8125,0.8038,0.7626,0.7338,,0.795,0.7626,0.8525,,0.8477,0.8447,0.8207
47,Meat,0.9861,0.9906,0.9839,0.9933,1,0.9333,,0.9794,0.9833,0.75,0.9333,0.9667,0.9917,0.9875
48,InsectEPGRegularTrain,1,1,0.9871,1,1,1,,0.9865,,,,0.9684,0.9843,0.9695
49,DiatomSizeReduction,0.9154,0.9223,0.9587,0.9428,0.3007,0.9346,0.883,0.8572,0.9706,0.8725,0.8889,0.9534,0.9698,0.9055
