,dataset,Train ,Test ,Class,Length,prototypeMP,DDPS,DDPSt,DDPSm,DDPS improve,DDPSt improve,DDPSm improve
76,ECG5000,500,4500,5,140,11620.69624,11077.07723,7623.980436,12906.92259,1.049076034,1.524229547,0.900346009
77,MixedShapesSmallTrain,100,2425,5,1024,29578.33709,32798.92176,27015.13912,35182.76806,0.901808215,1.094880058,0.840705229
78,Haptics,155,308,5,1092,57149.98958,68825.89248,63536.97673,73072.95223,0.830355953,0.899476061,0.782094986
79,Worms,181,77,5,900,86192.87406,89630.95693,88309.92656,101663.7525,0.961641792,0.976027015,0.847823063
80,InlineSkate,100,550,7,1882,83492.18857,84955.6665,79504.09214,90506.1705,0.982773628,1.050162153,0.922502721
81,UWaveGestureLibraryX,896,3582,8,315,142530.5974,107205.539,129408.2872,122371.5889,1.329507773,1.101402395,1.16473602
82,UWaveGestureLibraryZ,896,3582,8,315,201149.8262,155586.7502,148659.912,138071.3539,1.292846762,1.353087214,1.456854159
83,UWaveGestureLibraryY,896,3582,8,315,187710.406,149910.7545,144482.7338,147105.4513,1.252147698,1.299189191,1.276026173
84,PickupGestureWiimoteZ,50,50,10,Vary,50561.77691,2530.964439,1972.212436,2933.581078,19.9772767,25.63708452,17.23551372
85,ShakeGestureWiimoteZ,50,50,10,Vary,4579.012177,2696.731017,2587.775664,3584.603871,1.697986246,1.769478027,1.277410933
86,Fungi,18,186,18,201,5535.594575,2689.00817,2365.76917,3181.821184,2.058600877,2.339870958,1.739756654
87,ACSF1,100,100,10,1460,27678.92455,32650.78145,28426.26133,32730.50045,0.847726251,0.973709635,0.845661514
88,InsectWingbeatSound,220,1980,11,256,14732.18972,4244.949186,3166.394876,4653.915814,3.470522042,4.652669769,3.165547102
89,FacesUCR,200,2050,14,131,5236.593852,870.7481405,695.08446,1027.950065,6.013901849,7.533751873,5.094210341
90,MelbournePedestrian,1194,2439,10,24,1921.487959,384.8807399,300.6441456,439.3524022,4.992424303,6.391236908,4.373454999
91,MedicalImages,381,760,10,99,3966.185708,2558.937053,1492.243471,3102.237417,1.549934846,2.657867691,1.278491996
92,AllGestureWiimoteX,300,700,10,Vary,31832.47906,35603.08848,32742.02148,37658.80187,0.894093193,0.972220945,0.845286559
93,AllGestureWiimoteZ,300,700,10,Vary,58872.27647,36061.56908,34018.20578,39161.39097,1.632548943,1.730610863,1.503324448
94,AllGestureWiimoteY,300,700,10,Vary,58872.27647,36699.23815,31504.22295,36483.46668,1.604182524,1.868710635,1.613670022
95,CricketY,390,390,12,300,25250.8559,13862.14548,12238.54615,14802.94547,1.821569103,2.06322349,1.705799427
96,CricketZ,390,390,12,300,25920.47107,14476.7485,11620.0952,15015.91513,1.790489838,2.230659096,1.726199892
97,CricketX,390,390,12,300,25922.83953,13155.92484,11612.75844,15285.01386,1.970430802,2.232272347,1.695964411
98,FaceAll,560,1690,14,131,15099.93818,3959.740178,3058.504584,4453.010982,3.813365903,4.937033038,3.390950132
99,SwedishLeaf,500,625,15,128,9935.715315,2316.564113,1889.614377,2612.960858,4.28898784,5.258065052,3.802473843
100,WordSynonyms,267,638,25,270,22851.70111,8618.566034,6627.972885,9653.051851,2.651450487,3.447766233,2.367303259
101,GestureMidAirD2,208,130,26,Vary,27331.00343,11645.34795,10711.44573,12603.43159,2.346946054,2.551569985,2.168536659
102,GestureMidAirD1,208,130,26,Vary,27424.14684,11559.31394,11234.83933,12027.60555,2.372471843,2.440991458,2.280100284
103,GestureMidAirD3,208,130,26,Vary,26624.91164,11166.2893,10385.51446,12133.75172,2.384401023,2.563658424,2.194285186
104,Crop,7200,16800,24,46,27741.93697,10381.98523,9577.804648,12877.24053,2.672122562,2.896481813,2.154338649
105,Adiac,390,391,37,176,20076.91833,2479.056433,2188.162205,2839.637976,8.098612867,9.175242257,7.070238706
106,Phoneme,214,1896,39,1024,18855.42357,2454.960442,2142.159243,2691.674884,7.680540691,8.802064379,7.005089538
107,FiftyWords,450,455,50,270,18855.42357,13146.74994,12024.94609,2691.674884,1.434226988,1.568025621,7.005089538
108,PigAirwayPressure,104,208,52,2000,18855.42357,13146.74994,12024.94609,2691.674884,1.434226988,1.568025621,7.005089538
109,PigArtPressure,104,208,52,2000,18855.42357,13146.74994,12024.94609,2691.674884,1.434226988,1.568025621,7.005089538
110,PigCVP,104,208,52,2000,18855.42357,13146.74994,12024.94609,2691.674884,1.434226988,1.568025621,7.005089538
111,ShapesAll,600,600,60,512,18855.42357,13146.74994,24904.57307,2691.674884,1.434226988,0.757106878,7.005089538
